Rec,Voltage,Tot. Diff. Cap.
,[V],[mAh/V]
1692,2.7458,
1693,2.7455,
1694,2.7453,
1695,2.7455,
1696,2.7455,
1697,2.7452,
1698,2.7453,
1699,2.7452,
1700,2.7453,
1701,2.7453,
1702,2.7453,
1703,2.7452,
1704,2.7455,
1705,2.7452,
1706,2.7449,0
1707,2.745,
1708,2.7449,
1709,2.745,
1710,2.7449,
1711,2.7449,
1712,2.7449,
1713,2.7449,
1714,2.7449,
1715,2.7449,
1716,2.7447,
1717,2.7449,
1718,2.7446,
1719,2.7447,
1720,2.7447,
1721,2.7446,
1722,2.7447,
1723,2.7447,
1724,2.7446,
1725,2.7446,
1726,2.7446,
1727,2.7444,
1728,2.7446,
1729,2.7446,
1730,2.7447,
1731,2.7443,
1732,2.7443,
1733,2.7444,
1734,2.7444,
1735,2.7443,
1736,2.7443,
1737,2.7443,
1738,2.7443,
1739,2.7443,
1740,2.7443,
1741,2.7443,
1742,2.7444,
1743,2.744,
1744,2.744,
1745,2.7441,
1746,2.7438,
1747,2.7441,
1748,2.7441,
1749,2.7441,
1750,2.7438,
1751,2.7438,
1752,2.744,
1753,2.744,
1754,2.744,
1755,2.7438,
1756,2.7438,
1757,2.744,
1758,2.7436,
1759,2.7435,
1760,2.7436,
1761,2.7436,
1762,2.7435,
1763,2.7435,
1764,2.7435,
1765,2.7436,
1766,2.7435,
1767,2.7435,
1768,2.7435,
1769,2.7436,
1770,2.7436,
1771,2.7435,
1772,2.7433,
1773,2.7433,
1774,2.7433,
1775,2.7432,
1776,2.7433,
1777,2.7432,
1778,2.7432,
1779,2.743,
1780,2.743,
1781,2.743,
1782,2.7432,
1783,2.743,
1784,2.7429,
1785,2.743,
